unlocode,country,location_code,name,name_ascii,subdivision,latitude,longitude
CHUKS,CH,UKS,Uetikon am See,Uetikon am See,ZH,47.266666666666666,8.666666666666666
CHVAU,CH,VAU,Vaumarcus,Vaumarcus,NE,46.86666666666667,6.75
CHVS5,CH,VS5,Villaz-Saint-Pierre,Villaz-Saint-Pierre,FR,46.71666666666667,6.966666666666667
CHVSX,CH,VSX,Versoix,Versoix,GE,46.28333333333333,6.166666666666667
CHVZU,CH,VZU,Vitznau,Vitznau,LU,47.016666666666666,8.483333333333333
CHWCW,CH,WCW,Walchwil,Walchwil,ZG,47.1,8.516666666666667
CHWLO,CH,WLO,Würenlos,Wurenlos,AG,47.45,8.366666666666667
CHXRE,CH,XRE,Aeugst am Albis,Aeugst am Albis,ZH,47.266666666666666,8.483333333333333
CHXZX,CH,XZX,Ibach,Ibach,SZ,47.016666666666666,8.65
CIABJ,CI,ABJ,Abidjan,Abidjan,AB,5.333333333333333,-4.016666666666667
CIASS,CI,ASS,Assinie-Mafia,Assinie-Mafia,,5.116666666666666,-3.283333333333333
CIBAO,CI,BAO,Baobab Terminal,Baobab Terminal,,4.95,-4.55
CIDAB,CI,DAB,Dabou,Dabou,,5.316666666666666,-4.366666666666666
CIESP,CI,ESP,Espoir,Espoir,,5.066666666666666,-4.383333333333334
CIFRE,CI,FRE,Fresco,Fresco,,5.083333333333333,-5.566666666666666
CIGBA,CI,GBA,Gbabam,Gbabam,,5.466666666666667,-5.583333333333333
CIGLU,CI,GLU,Grand Lahou,Grand Lahou,,5.133333333333334,-5.016666666666667
CIJAC,CI,JAC,Jacqueville,Jacqueville,,5.2,-4.416666666666667
CIKOS,CI,KOS,Kosagi,Kosagi,,8.216666666666667,-8.1
CIPBT,CI,PBT,Port-Bouët,Port-Bouet,,5.25,-3.966666666666667
CISPY,CI,SPY,San-Pédro,San-Pedro,09,4.733333333333333,-6.616666666666667
CLACH,CL,ACH,Achao,Achao,LL,-42.45,-73.51666666666667
CLANF,CL,ANF,Antofagasta,Antofagasta,AN,-23.633333333333333,-70.38333333333334
CLARA,CL,ARA,Arauco,Arauco,BI,-37.25,-73.31666666666666
CLARI,CL,ARI,Arica,Arica,AP,-18.483333333333334,-70.31666666666666
CLAYA,CL,AYA,Ayacara,Ayacara,LL,-42.3,-72.78333333333333
CLBAG,CL,BAG,Bahía San Gregorio,Bahia San Gregorio,MA,-52.61666666666667,-70.13333333333334
CLBAR,CL,BAR,Barquito,Barquito,AT,-26.35,-70.63333333333334
CLBLR,CL,BLR,Bahia Laredo,Bahia Laredo,MA,-52.96666666666667,-70.8
CLCAA,CL,CAA,Calderilla,Calderilla,AT,-27.083333333333332,-70.85
CLCAL,CL,CAL,Caleta Patillos,Caleta Patillos,,-20.75,-70.2
CLCBC,CL,CBC,Calbuco,Calbuco,LL,-41.75,-73.13333333333334
CLCCA,CL,CCA,Chacao,Chacao,LL,-41.833333333333336,-73.53333333333333
